symbol,valuation_date,T,F,DF,alpha,beta,rho,nu,rmse,n,Kmin,Kmax,thr_logM,left_pts,right_pts
000300.SH,2025-08-26,0.065753,4453.8578134242225,0.009975603828955461,2.8959455695917162,0.7000000000000002,0.43960704454269006,2.5595052732448984,0.018175944724088455,29,3600.0,4950.0,0.22,19,10
000300.SH,2025-08-26,0.315068,4442.286045420934,0.009918419284521696,9.676067121312348,0.55,0.38345206929222936,1.2515999219391716,0.0020699246397726675,19,3300.0,5000.0,0.3,13,6
000300.SH,2025-08-26,0.564384,4420.896610026129,0.009846425037317523,0.801208662563144,0.8500000000000003,-0.08063173940534021,0.02,0.013902151419646822,19,3300.0,5000.0,0.3,13,6
000300.SH,2025-08-26,0.813699,4424.488573600756,0.009803827929498287,1.7779716736702582,0.75,0.40516905065147685,0.7822610035442368,0.00143186099166944,18,3400.0,5000.0,0.3,12,6
000852.SH,2025-08-26,0.065753,7421.730998464029,0.009957609014807748,2.494086488835506,0.7500000000000002,0.13755758231869186,2.0984076272388887,0.010737391141287063,25,6000.0,8300.0,0.22,16,9
000852.SH,2025-08-26,0.315068,7267.879577802889,0.009925594396332572,8.628642360407637,0.6000000000000001,0.26476242913379344,1.2466921036053913,0.003275255976253106,17,5400.0,8400.0,0.3,11,6
000852.SH,2025-08-26,0.564384,7119.555737480102,0.009899694475393248,2.244635344147855,0.75,0.2962462426478115,0.9189641659135825,0.0011978452111849008,16,5400.0,8400.0,0.3,9,7
000852.SH,2025-08-26,0.813699,6996.692806267434,0.009793965588169508,0.38483587301853567,0.9500000000000002,0.285177675626391,0.7688856134854757,0.001044186629171175,18,5200.0,8400.0,0.3,9,9
510500.SH,2025-08-26,0.079452,7.010985894015855,9.939048958834118e-05,0.4624955099421011,0.7000000000000002,0.30373615869367354,2.438974116279493,0.011485549362347315,12,5.5,8.0,0.26,8,4
510500.SH,2025-08-26,0.328767,6.881632576050842,9.907199999999965e-05,0.37408721915335125,0.75,0.2974324107441133,1.2964555397669295,0.00048315064736310595,12,5.25,8.0,0.3,7,5
510500.SH,2025-08-26,0.578082,6.79268318604997,0.00010311600000000003,0.21566465404267315,1.0000000000000002,0.2270988416792852,0.9675964271713016,0.002169719414323819,13,5.25,8.0,0.3,8,5
